User,Email / Username,Role,Session,Status,Planned Session Start,Planned Session End,Actual Session Start,Actual Session End,Session Date,Joined,Left,Attendance Status,Grade,Sex,Race,Is Hispanic,School,District,Region,Program,Parents,Custom ID
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:11 PM,10:26 PM,,,03/29/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:28 PM,10:43 PM,,,03/28/2024,10:28 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:28 PM,10:43 PM,,,03/28/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:15 PM,10:30 PM,10:15 PM,10:20 PM,03/28/2024,10:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:15 PM,10:30 PM,10:15 PM,10:20 PM,03/28/2024,10:15 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/28/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/28/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:43 PM,10:58 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:43 PM,10:58 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:41 PM,10:56 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:41 PM,10:56 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Missed,10:21 PM,10:36 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Missed,10:21 PM,10:36 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Missed,10:20 PM,10:35 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Missed,10:20 PM,10:35 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:18 PM,10:33 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:18 PM,10:33 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:16 PM,10:31 PM,,,03/27/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:16 PM,10:31 PM,,,03/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:35 PM,10:50 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:35 PM,10:50 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:34 PM,10:49 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:34 PM,10:49 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Missed,10:17 PM,10:32 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Missed,10:17 PM,10:32 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Missed,10:16 PM,10:31 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Missed,10:16 PM,10:31 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:14 PM,10:29 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:14 PM,10:29 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/26/2024,,,Missed,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:31 PM,10:46 PM,,,03/25/2024,10:31 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:31 PM,10:46 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:14 PM,10:29 PM,10:15 PM,10:20 PM,03/25/2024,10:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:14 PM,10:29 PM,10:15 PM,10:20 PM,03/25/2024,10:15 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/25/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,4:00 PM,4:15 PM,,,03/25/2024,4:00 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,4:00 PM,4:15 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,3:49 PM,4:04 PM,3:49 PM,3:54 PM,03/25/2024,3:49 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,3:49 PM,4:04 PM,3:49 PM,3:54 PM,03/25/2024,3:49 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:47 PM,4:02 PM,,,03/25/2024,3:47 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:47 PM,4:02 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:42 PM,1:57 PM,,,03/25/2024,1:42 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:42 PM,1:57 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,1:24 PM,1:39 PM,1:24 PM,1:29 PM,03/25/2024,1:24 PM,1:24 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,1:24 PM,1:39 PM,1:24 PM,1:29 PM,03/25/2024,1:24 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:23 PM,1:38 PM,,,03/25/2024,1:23 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:23 PM,1:38 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:38 PM,12:53 PM,,,03/25/2024,12:39 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:38 PM,12:53 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:03 PM,12:18 PM,,,03/25/2024,12:03 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:03 PM,12:18 PM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,11:42 AM,11:57 AM,11:43 AM,11:48 AM,03/25/2024,11:42 AM,11:43 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,11:42 AM,11:57 AM,11:43 AM,11:48 AM,03/25/2024,11:43 AM,11:43 AM,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,11:41 AM,11:56 AM,11:42 AM,11:47 AM,03/25/2024,11:42 AM,11:42 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,11:41 AM,11:56 AM,11:42 AM,11:47 AM,03/25/2024,11:42 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:38 AM,11:53 AM,,,03/25/2024,11:38 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:38 AM,11:53 AM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:37 AM,11:52 AM,,,03/25/2024,11:37 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:37 AM,11:52 AM,,,03/25/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:32 PM,10:47 PM,,,03/24/2024,10:32 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:32 PM,10:47 PM,,,03/24/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:18 PM,10:33 PM,10:18 PM,10:23 PM,03/24/2024,10:18 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:18 PM,10:33 PM,10:18 PM,10:23 PM,03/24/2024,10:18 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:16 PM,10:31 PM,,,03/24/2024,10:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:16 PM,10:31 PM,,,03/24/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:35 PM,10:50 PM,,,03/23/2024,10:35 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:35 PM,10:50 PM,,,03/23/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:17 PM,10:32 PM,10:18 PM,10:23 PM,03/23/2024,10:18 PM,10:18 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:17 PM,10:32 PM,10:18 PM,10:23 PM,03/23/2024,10:18 PM,10:18 PM,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:16 PM,10:31 PM,,,03/23/2024,10:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:16 PM,10:31 PM,,,03/23/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:31 PM,10:46 PM,,,03/22/2024,10:31 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:31 PM,10:46 PM,,,03/22/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:15 PM,10:30 PM,10:15 PM,10:20 PM,03/22/2024,10:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:15 PM,10:30 PM,10:15 PM,10:20 PM,03/22/2024,10:15 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/22/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/22/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:33 PM,10:48 PM,,,03/21/2024,10:33 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:33 PM,10:48 PM,,,03/21/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:16 PM,10:31 PM,10:16 PM,10:21 PM,03/21/2024,10:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:16 PM,10:31 PM,10:16 PM,10:21 PM,03/21/2024,10:16 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:14 PM,10:29 PM,,,03/21/2024,10:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:14 PM,10:29 PM,,,03/21/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,2:07 PM,2:22 PM,,,03/21/2024,2:07 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,2:07 PM,2:22 PM,,,03/21/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,1:45 PM,2:00 PM,1:46 PM,1:51 PM,03/21/2024,1:46 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,1:45 PM,2:00 PM,1:46 PM,1:51 PM,03/21/2024,1:46 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:44 PM,1:59 PM,,,03/21/2024,1:44 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:44 PM,1:59 PM,,,03/21/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:41 PM,11:56 PM,,,03/20/2024,11:41 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:41 PM,11:56 PM,,,03/20/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:21 PM,10:36 PM,10:22 PM,10:27 PM,03/20/2024,10:21 PM,10:21 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:21 PM,10:36 PM,10:22 PM,10:27 PM,03/20/2024,10:22 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:16 PM,10:31 PM,,,03/20/2024,10:17 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:16 PM,10:31 PM,,,03/20/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:57 PM,11:12 PM,,,03/19/2024,10:57 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:57 PM,11:12 PM,,,03/19/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/19/2024,10:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/19/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,3:27 PM,3:42 PM,3:27 PM,3:32 PM,03/19/2024,3:27 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,3:27 PM,3:42 PM,3:27 PM,3:32 PM,03/19/2024,3:27 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:26 PM,3:41 PM,,,03/19/2024,3:26 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:26 PM,3:41 PM,,,03/19/2024,3:27 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:26 PM,3:41 PM,,,03/19/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:26 PM,3:41 PM,,,03/19/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:45 PM,11:00 PM,,,03/18/2024,10:45 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:45 PM,11:00 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:18 PM,10:33 PM,10:19 PM,10:24 PM,03/18/2024,10:18 PM,10:18 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:18 PM,10:33 PM,10:19 PM,10:24 PM,03/18/2024,10:19 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:14 PM,10:29 PM,,,03/18/2024,10:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:14 PM,10:29 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,5:15 PM,5:30 PM,5:15 PM,5:20 PM,03/18/2024,5:15 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:15 PM,5:30 PM,,,03/18/2024,5:15 PM,5:15 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,5:15 PM,5:30 PM,5:15 PM,5:20 PM,03/18/2024,5:15 PM,,Attended,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:15 PM,5:30 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:13 PM,5:28 PM,,,03/18/2024,5:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:13 PM,5:28 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,3:04 PM,3:19 PM,3:04 PM,3:09 PM,03/18/2024,3:04 PM,3:04 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,3:04 PM,3:19 PM,3:04 PM,3:09 PM,03/18/2024,3:04 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:02 PM,3:17 PM,,,03/18/2024,3:03 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:02 PM,3:17 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:42 PM,1:57 PM,,,03/18/2024,1:42 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:42 PM,1:57 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,1:18 PM,1:33 PM,1:18 PM,1:23 PM,03/18/2024,1:18 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,1:18 PM,1:33 PM,1:18 PM,1:23 PM,03/18/2024,1:18 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Missed,1:14 PM,1:29 PM,,,03/18/2024,1:14 PM,1:14 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Missed,1:14 PM,1:29 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:09 PM,1:24 PM,,,03/18/2024,1:09 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:09 PM,1:24 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:57 AM,12:12 PM,,,03/18/2024,11:58 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:57 AM,12:12 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:55 AM,12:10 PM,,,03/18/2024,11:55 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:55 AM,12:10 PM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:45 AM,10:00 AM,9:45 AM,9:50 AM,03/18/2024,9:45 AM,9:45 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:45 AM,10:00 AM,9:45 AM,9:50 AM,03/18/2024,9:45 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:41 AM,9:56 AM,,,03/18/2024,9:42 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:41 AM,9:56 AM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:40 AM,9:55 AM,,,03/18/2024,9:41 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:40 AM,9:55 AM,,,03/18/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:17 PM,10:32 PM,10:18 PM,10:23 PM,03/17/2024,10:17 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:17 PM,10:32 PM,10:18 PM,10:23 PM,03/17/2024,10:18 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:14 PM,10:29 PM,,,03/17/2024,10:14 PM,10:14 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:14 PM,10:29 PM,,,03/17/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/17/2024,10:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/17/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:19 PM,10:34 PM,10:20 PM,10:25 PM,03/16/2024,10:20 PM,10:20 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:19 PM,10:34 PM,10:20 PM,10:25 PM,03/16/2024,10:20 PM,,Attended,,,,,,,,,Automation Parent,
